SAP_CODE,DATE,MATERIAL,UNIT_OF_MEASURE,QUANTITY,DELIVERY_NOTE_N°,SUPPLIER,UNIT_PRICE_USD
03FC388B,2024-10-04,FREQUENCY DRIVE 150HP BRAND: ZE TWERD SERIAL N° 9442/24,UNIT,1,REQ-PRP-2024-004,ELECTRA-NETWORK SUPPLY,2895.53
652EF26B,2024-10-04,FREQUENCY DRIVE 150HP BRAND: ZE TWERD SERIAL N° 9472/24,UNIT,1,REQ-PRP-2024-004,ELECTRA-NETWORK SUPPLY,2795.61
EFB166A6,2024-10-04,FREQUENCY DRIVE 150HP BRAND: ZE TWERD SERIAL N° 9455/24,UNIT,1,REQ-PRP-2024-004,GENERAL SERVICES & LOGISTICS CO.,2897.73
1629C992,2024-10-04,FREQUENCY DRIVE 150HP BRAND: ZE TWERD SERIAL N° 9459/24,UNIT,1,REQ-PRP-2024-004,INDUSTRIAL GLOBAL SOLUTIONS,2805.81
EC614F19,2024-10-05,SEAL 415449 (CR-24988) PARKER BRAND,UNIT,4,2024-0007,INDUSTRIAL GLOBAL SOLUTIONS,34.89
53D95454,2024-10-05,TERMINAL CAPS 35KV FOR 4/0 CABLE 3M BRAND,SET,3,2024-0007,ELECTRA-NETWORK SUPPLY,13.52
37216ECE,2024-10-05,SCOTCH INSULATING TAPE 23,UNIT,12,2024-0007,ELECTRA-NETWORK SUPPLY,35.33
7AF33481,2024-10-05,SCOTCH INSULATING TAPE 33,ROLL,12,2024-0007,GENERAL SERVICES & LOGISTICS CO.,34.43
932DEE17,2024-10-05,TERMINAL BARRACUDA FOR 3/0 CABLE,UNIT,114,2024-0007,GENERAL SERVICES & LOGISTICS CO.,11.09
AC6BD706,2024-10-05,FUSE FOR 2A HOLDER,UNIT,10,2024-0007,GENERAL SERVICES & LOGISTICS CO.,34.71
F15FE52F,2024-10-05,FUSE FOR 3A HOLDER,UNIT,10,2024-0007,ELECTRA-NETWORK SUPPLY,35.12
B5E4DF2E,2024-10-05,FUSE FOR 5A HOLDER,UNIT,10,2024-0007,ELECTRA-NETWORK SUPPLY,35.55
E4017955,2024-10-05,HYDRAULIC TERMINAL PRESS,SET,1,NOT SPECIFIED,GENERAL SERVICES & LOGISTICS CO.,13.11
9D1058E1,2024-10-07,SERVO-VALVE BRAND: STAR HIDRAULICS LTD SERIAL: M607307-01,UNIT,1,2024-0008,GENERAL SERVICES & LOGISTICS CO.,35.09
82BE45F5,2024-10-07,SERVO-VALVE BRAND: STAR HIDRAULICS LTD SERIAL: M607307-02,UNIT,1,2024-0008,INDUSTRIAL GLOBAL SOLUTIONS,34.52
F87ABEAC,2024-10-07,ULTRAVIOLET FLAME SENSOR BRAND: HONEYWELL SERIAL: 13045239,UNIT,1,2024-0008,INDUSTRIAL GLOBAL SOLUTIONS,34.81
2E4DC416,2024-10-07,ULTRAVIOLET FLAME SENSOR BRAND: HONEYWELL SERIAL: 10067497,UNIT,1,2024-0008,ELECTRA-NETWORK SUPPLY,34.71
8B84E6F2,2024-10-11,CYLINDRICAL ROLLER BEARINGS SINGLE ROW NJ214E,UNIT,4,TYPO,ELECTRA-NETWORK SUPPLY,34.69
A1CB30F4,2024-10-11,SPHERICAL ROLLER THRUST BEARING 29420E,UNIT,4,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.68
79290817,2024-10-11,CYLINDRICAL ROLLER BEARINGS NJ221E,UNIT,4,TYPO,ELECTRA-NETWORK SUPPLY,35.69
F3EAA9E0,2024-10-11,SPHERICAL ROLLER THRUST BEARING 29426E,UNIT,4,TYPO,ELECTRA-NETWORK SUPPLY,35.35
B1B91034,2024-10-11,DEEP GROOVE BALL BEARING 16024,UNIT,4,TYPO,ELECTRA-NETWORK SUPPLY,35.26
DC00F912,2024-10-11,BELT 5V1180,UNIT,24,TYPO,GENERAL SERVICES & LOGISTICS CO.,84.96
26EF527C,2024-10-11,BELT 5VX1120,UNIT,28,TYPO,ELECTRA-NETWORK SUPPLY,34.94
1656FC73,2024-10-11,TERMINAL TYPE BARRACUDA BIMETAL DOUBLE EYE FOR 500 MCM CABLE,UNIT,30,TYPO,GENERAL SERVICES & LOGISTICS CO.,13.36
F19C2F26,2024-10-11,TERMINAL TYPE BARRACUDA BIMETAL DOUBLE EYE FOR 350 MCM CABLE,UNIT,6,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,13.15
CBE7C296,2024-10-11,"EJECTION FUSE TYPE K, 27 KV",UNIT,3,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.4
CAE01138,2024-10-11,"MONOPOLAR CIRCUIT BREAKERS 27 KV, 100 A, BIL 125 KV",UNIT,3,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.4
128A938F,2024-10-11,"PRESSURE TRANSMITTER 30515 CONNECTION 1/2"" NPT",UNIT,6,TYPO,ELECTRA-NETWORK SUPPLY,34.86
C8234BE2,2024-10-11,"TEMPERATURE TRANSMITTER 3144P CONNECTION 1/2"" NPT",UNIT,7,TYPO,ELECTRA-NETWORK SUPPLY,34.71
1F4C8EF8,2024-10-11,GLASS FUSE OF 5 X 20 MM OF 250 MA,UNIT,120,TYPO,ELECTRA-NETWORK SUPPLY,35.26
B3756A00,2024-10-11,GLASS FUSE OF 5 X 20 MM OF 3 A,UNIT,10,TYPO,GENERAL SERVICES & LOGISTICS CO.,35.68
B3756A00,2024-10-11,GLASS FUSE OF 5 X 20 MM OF 3 A,UNIT,10,TYPO,ELECTRA-NETWORK SUPPLY,35.41
449F3A49,2024-10-11,TERMINAL CAP 35 KV FOR 4/0 CABLE,UNIT,3,TYPO,GENERAL SERVICES & LOGISTICS CO.,13.19
F6D1A7E8,2024-10-11,TERMINAL CAP 5 KV FOR 500 MCM CABLE,UNIT,12,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,13.18
B4B42D7C,2024-10-11,50 AMP MOLDED CASE TRIPOLAR BREAKER,UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.49
3C46ADB5,2024-10-11,DOUBLE LIP RADIAL SEAL CR-32397,UNIT,4,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.52
C78941C7,2024-10-11,TEMPERATURE ELEMENT RTD WITHOUT THERMOWELL LENGTH 15 CM,UNIT,6,TYPO,GENERAL SERVICES & LOGISTICS CO.,35.44
69E17AE5,2024-10-11,TEMPERATURE ELEMENT RTD WITHOUT THERMOWELL LENGTH 20 CM,UNIT,1,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.91
B8A38296,2024-10-12,"3/4"" NPT OIL LEVEL VIEWER",SET,4,TYPO,GENERAL SERVICES & LOGISTICS CO.,15.33
3EB32853,2024-10-12,INDUSTRIAL LED REFLECTOR 400 W,SET,10,TYPO,ELECTRA-NETWORK SUPPLY,34.5
9AEA11D3,2024-10-12,RUBBER SPLICING TAPE 23,ROLL,4,TYPO,GENERAL SERVICES & LOGISTICS CO.,26.48
D2EFDF01,2024-10-12,ELECTRICAL TAPE 33,ROLL,4,TYPO,ELECTRA-NETWORK SUPPLY,13.7
039A0D67,2024-10-17,SERVO-VALVE BRAND ULTRA MOOG SERIAL 116834 31 B: USED,UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.78
FA232ADD,2024-10-20,"4"" BRUSH",UNIT,10,NE-001,ELECTRA-NETWORK SUPPLY,34.78
1B4F875E,2024-10-20,"2"" BRUSH",UNIT,10,NE-001,INDUSTRIAL GLOBAL SOLUTIONS,34.35
CC40AB7A,2024-10-20,"1/2"" SOCATE",UNIT,15,NE-001,GENERAL SERVICES & LOGISTICS CO.,34.75
6C654839,2024-10-20,PVC DOTTED COTTON GLOVE,,24,NE-001,GENERAL SERVICES & LOGISTICS CO.,0.84
E8D2B523,2024-10-20,HIDROJET 1600 W 5 LTS,UNIT,1,NE-001,ELECTRA-NETWORK SUPPLY,35.09
B928BA3D,2024-10-20,"WOODEN SPATULA OF 5""",UNIT,2,NE-001,GENERAL SERVICES & LOGISTICS CO.,35.49
81014082,2024-10-20,"WOODEN SPATULA OF 3""",UNIT,5,NE-001,INDUSTRIAL GLOBAL SOLUTIONS,34.49
2553054A,2024-10-20,PAINT ROLLER KIT,SET,4,NE-001,INDUSTRIAL GLOBAL SOLUTIONS,34.77
AE34D56F,2024-10-20,LED BULBS 9 W,UNIT,40,NE-001,GENERAL SERVICES & LOGISTICS CO.,35.35
A7F1A743,2024-10-20,2-STROKE OIL,LITER,4,NE-001,INDUSTRIAL GLOBAL SOLUTIONS,15.76
20DA544F,2024-10-20,LATEX GLOVES,BOX,1,NE-001,ELECTRA-NETWORK SUPPLY,35.28
22898DCD,2024-10-21,PROGRESSIVE CAVITY PUMP SERIAL N° 10610-A387,UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.37
2F41C343,2024-10-21,PROGRESSIVE CAVITY PUMP SERIAL N° 10129-A156,UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.79
DEED0718,2024-10-21,PROGRESSIVE CAVITY PUMP SERIAL N° 10124-A159,UNIT,1,TYPO,ELECTRA-NETWORK SUPPLY,34.73
9AEA11D3,2024-10-22,RUBBER SPLICING TAPE 23,ROLL,10,SDO-FO-HSE-137,GENERAL SERVICES & LOGISTICS CO.,26.48
D2EFDF01,2024-10-22,ELECTRICAL TAPE 33,ROLL,10,SDO-FO-HSE-137,ELECTRA-NETWORK SUPPLY,13.7
9052416D,2024-10-25,POWER CABLE 3/C 3/0 AWG AL 80075°C 600V,METER,1200,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.45
8FC8088A,2024-10-25,"POWER CABLE  3/C 10AWG CU XLPE 90° 600V, 7 STRANDS SOFT COPPER CONDUCTOR CLASS B INTERLOCKED ALUMINUM ARMOR",METER,200,TYPO,ELECTRA-NETWORK SUPPLY,34.45
E4F89B17,2024-10-25,"POWER CABLE 3/C 12 AWG CU XLPE 90° 600V, 7 STRANDS SOFT COPPER CONDUCTOR CLASS B INTERLOCKED ALUMINUM ARMOR",METER,200,TYPO,GENERAL SERVICES & LOGISTICS CO.,35.65
D11C489B,2024-10-25,"1/C18 AWG PVC 105°C 600V, BLACK COLOR CABLE",METER,300,TYPO,GENERAL SERVICES & LOGISTICS CO.,35.11
9BB9B656,2024-10-25,"1/C18 AWG PVC 105°C 600V, RED COLOR CABLE",METER,300,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.92
8922FDA8,2024-10-25,"THREE-PHASE DRY TYPE TRANSFORMER, 45 KVA, 480/208- 120.INDOOR USE",UNIT,1,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.26
2F3BC800,2024-10-25,"THREE-PHASE DRY TYPE TRANSFORMER, 75 KVA, 480/208- 120.INDOOR USE",UNIT,1,TYPO,ELECTRA-NETWORK SUPPLY,34.9
C19C5445,2024-10-25,"THREE-PHASE DISTRIBUTION TRANSFORMER SUBSTATION TYPE, 34.5/0.48-0.277KV,2000KVA",UNIT,1,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.35
0C85B608,2024-10-25,INSTRUMENTATION CABLE 24 (16P) X 16 AWG,METER,286,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.6
364B148A,2024-10-25,INSTRUMENTATION CABLE 6(4P) X 16 AWG,METER,141,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.07
C2CB26F3,2024-10-25,3 POLE 30 AM MOLDED CASE BREAKER,UNIT,1,TYPO,ELECTRA-NETWORK SUPPLY,34.69
86730E70,2024-10-25,2 POLE 30 AM MOLDED CASE BREAKER,UNIT,1,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.94
440657DA,2024-10-28,"ASSEMBLED BUSHING WITH ALL ITS ELEMENTS, (INSULATING ELEMENT (BUSHING ITSELF), LOWER CAP, FLANGE, UPPER CAP (BUSHING SUPPORT ON THE FLANGE, INSULATED ELECTRICAL CONDUCTOR 20KV, TIP EXTENSION (CONTACT WITH THE GRID COLLECTOR)",UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.9
19E62F06,2024-10-28,MULTICONDUCTOR INSTRUMENTATION 8 PAIRS CALIBER#16 AWG ARMANDO,METER,300,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.69
BB8933B8,2024-11-04,SILICON,TUBE,2,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.92
442311AA,2024-11-04,EXPANSIVE FOAM LARGE,TUBE,2,TYPO,ELECTRA-NETWORK SUPPLY,35.34
EF8CB270,2024-11-04,ALUMINIZED ADHESIVE TAPE,ROLL,1,TYPO,ELECTRA-NETWORK SUPPLY,34.58
99C54687,2024-11-04,LARGE EXTRACTOR,UNIT,1,TYPO,ELECTRA-NETWORK SUPPLY,34.91
988FDD0E,2024-11-04,SILVER ROD,UNIT,5,TYPO,ELECTRA-NETWORK SUPPLY,34.43
3DB32A9E,2024-11-04,PIPE CUTTER,UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,35.15
6E838C6A,2024-11-04,TERMINAL TYPE BARRACUDA ONE EYE FOR 3/0 CABLE,UNIT,198,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,8.54
37216ECE,2024-11-04,SCOTCH INSULATING TAPE 23,UNIT,38,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.3
37216ECE,2024-11-04,SCOTCH INSULATING TAPE 23,UNIT,27,TYPO,ELECTRA-NETWORK SUPPLY,35.45
38D99A20,2024-11-04,PVC DOTTED COTTON GLOVE,PAIR,112,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.44
64569C89,2024-11-04,NITRILE GLOVE,BOX,75,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.09
C276BBD7,2024-11-04,GRAY CEMENT,SACK,2,TYPO,ELECTRA-NETWORK SUPPLY,34.45
72398892,2024-11-04,90MM ANTI-CUT PADLOCK,UNIT,2,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.81
22B902F6,2024-11-09,"1 1/4"" X 25 FT PIN X PIN ROD",UNIT,120,TYPO,ELECTRA-NETWORK SUPPLY,35.51
9C8B4FCB,2024-11-09,START SERVOVALVE MODEL 550 00 98,UNIT,2,SDO-FO-NDE-CP-02,INDUSTRIAL GLOBAL SOLUTIONS,35.62
39AEC270,2024-11-09,HYDRAULIC OIL FILTER SERVO VALVE,UNIT,2,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,15.75
7F809AF5,2024-11-11,INDUSTRIAL MIXER MODEL B30,UNIT,1,NOT SPECIFIED,GENERAL SERVICES & LOGISTICS CO.,34.62
F3325A99,2024-11-13,TERMINAL CAP FOR 35KV 70 MM2 (2/0) - 300MM2 (500) NKT SOT 361-31 BRAND,UNIT,3,TYPO,GENERAL SERVICES & LOGISTICS CO.,13.28
7411D229,2024-11-14,STAR TYPE COUPLING NO. 190 FOR CENTRIFUGAL PUMP P-202,UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,35.63
D586F6EA,2024-11-14,HUB PARA BOMBA P-810,UNIT,1,TYPO,ELECTRA-NETWORK SUPPLY,35.5
DC681811,2024-11-14,WATER BOTTLES 18 L,UNIT,40,SLA-ADM-NE-24-001,GENERAL SERVICES & LOGISTICS CO.,35.37
056C2221,2024-11-15,SEAL IN V VA-080,SET,2,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.15
A58410F4,2024-11-15,HYDRAULIC FILTER DONALSON,UNIT,3,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,48.9
E9E77786,2024-11-15,"ELECTRIC MOTORS OF 75 HP ,460V,ROTEK BRAND",UNIT,32,S/N,ELECTRA-NETWORK SUPPLY,35.02
26EF527C,2024-11-16,BELT 5VX1120,UNIT,3,NOT SPECIFIED,GENERAL SERVICES & LOGISTICS CO.,34.45
22B902F6,2024-11-16,"1 1/4"" X 25 FT PIN X PIN ROD",UNIT,280,SDO-FO-ADC-02,ELECTRA-NETWORK SUPPLY,35.4
AB2B6869,2024-11-17,MANUAL GREASE GUN,UNIT,1,45613,GENERAL SERVICES & LOGISTICS CO.,35.47
F7F1B51F,2024-11-18,"FREQUENCY VARIATOR OF 150 HP, 480V, 60 HZ, 180A, MFC 1000 TYPE",,15,SDO-NE-CP-02,GENERAL SERVICES & LOGISTICS CO.,16000.0
2642B491,2024-11-18,BCP OF 200-300 RPM WITH ROTOR AND CONNECTIONS MODEL 35-1600,,3,SDO-PERF-24-02,GENERAL SERVICES & LOGISTICS CO.,34.86
AF64EA50,2024-11-18,BCP OF 300-300 BPD 400 RPM WITH ROTOR AND CONNECTIONS,EQUIPMENT,3,SDO-PERF-24-02,GENERAL SERVICES & LOGISTICS CO.,34.47
5CE3CA07,2024-11-18,BCP OF 400-500 400 RPM WITH ROTOR AND CONNECTIONS,UNIT,3,SDO-PERF-24-02,INDUSTRIAL GLOBAL SOLUTIONS,35.47
7A3626D4,2024-11-19,CYLINDRICAL ROLLER BEARING SINGLE ROW  NJ214E,UNIT,2,45615,GENERAL SERVICES & LOGISTICS CO.,34.97
A1CB30F4,2024-11-19,SPHERICAL ROLLER THRUST BEARING 29420E,UNIT,2,45615,GENERAL SERVICES & LOGISTICS CO.,35.0
4AA682FD,2024-11-19,CYLINDRICAL ROLLER BEARING SINGLE ROW  NJ221E,UNIT,2,45615,ELECTRA-NETWORK SUPPLY,35.03
7E8687D3,2024-11-19,SPHERICAL ROLLER BEARING 29426E,UNIT,2,45615,ELECTRA-NETWORK SUPPLY,34.45
4BA3A91E,2024-11-19,DEEP GROOVE BALL BEARINGS 16024,UNIT,2,45615,GENERAL SERVICES & LOGISTICS CO.,35.54
3C46ADB5,2024-11-19,DOUBLE LIP RADIAL SEAL CR-32397,UNIT,2,45615,ELECTRA-NETWORK SUPPLY,34.62
3BA8AF4E,2024-11-19,DOUBLE LIP RADIAL SEAL CR -24988,UNIT,2,45615,INDUSTRIAL GLOBAL SOLUTIONS,34.69
B8A38296,2024-11-19,"3/4"" NPT OIL LEVEL VIEWER",SET,2,45615,ELECTRA-NETWORK SUPPLY,15.45
056C2221,2024-11-19,SEAL IN V VA-080,SET,2,45615,INDUSTRIAL GLOBAL SOLUTIONS,34.67
0754BE5C,2024-11-19,1/8 NPT BREATHING VALVE,UNIT,2,45615,INDUSTRIAL GLOBAL SOLUTIONS,35.6
DC00F912,2024-11-19,BELT 5V1180,UNIT,4,45615,ELECTRA-NETWORK SUPPLY,84.96
26EF527C,2024-11-19,BELT 5VX1120,UNIT,4,45615,ELECTRA-NETWORK SUPPLY,35.43
83A8067D,2024-11-19,"CROSSOVER 4 1/2"" EUE PIN X 5 1/2"" LTC BOX",UNIT,5,SDO-PERF-24-03,INDUSTRIAL GLOBAL SOLUTIONS,34.64
19DEEC2D,2024-11-19,"CROSSOVER 3 1/2"" EUE BOX X 4 1/2"" EUE PIN",UNIT,3,SDO-PERF-24-03,ELECTRA-NETWORK SUPPLY,34.5
9730CE49,2024-11-19,"CROSSOVER 3 1/2"" EUE PIN X 4 1/2"" EUE BOX",UNIT,3,SDO-PERF-24-03,GENERAL SERVICES & LOGISTICS CO.,34.63
F7F1B51F,2024-11-20,"FREQUENCY VARIATOR OF 150 HP, 480V, 60 HZ, 180A, MFC 1000 TYPE",,15,SDO-NE-CP-02,GENERAL SERVICES & LOGISTICS CO.,16000.0
95228A1B,2024-11-25,CYLINDRICAL ROLLER BEARING SINGLE ROW NJ214E,UNIT,5,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.58
39BC1121,2024-11-25,CYLINDRICAL ROLLER BEARING SINGLE ROW NJ221E,UNIT,5,TYPO,GENERAL SERVICES & LOGISTICS CO.,35.16
C2B645E8,2024-11-25,SPHERICAL ROLLER THRUST BEARINGS 29426E,UNIT,5,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.32
1BD9E462,2024-11-25,SPHERICAL ROLLER THRUST BEARINGS 29420E,UNIT,5,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.88
4BA3A91E,2024-11-25,DEEP GROOVE BALL BEARINGS 16024,UNIT,5,TYPO,ELECTRA-NETWORK SUPPLY,34.42
3C46ADB5,2024-11-25,DOUBLE LIP RADIAL SEAL CR-32397,UNIT,5,TYPO,ELECTRA-NETWORK SUPPLY,34.83
3BA8AF4E,2024-11-25,DOUBLE LIP RADIAL SEAL CR -24988,UNIT,5,TYPO,ELECTRA-NETWORK SUPPLY,34.36
8E0EE1A6,2024-11-25,SEAL IN VA-080,UNIT,2,TYPO,ELECTRA-NETWORK SUPPLY,35.45
0754BE5C,2024-11-25,1/8 NPT BREATHING VALVE,UNIT,7,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,35.06
932DEE17,2024-11-25,TERMINAL BARRACUDA FOR 3/0 CABLE,UNIT,200,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,11.09
37216ECE,2024-11-25,SCOTCH INSULATING TAPE 23,UNIT,38,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.37
53DD5265,2024-11-25,TRIPOLAR CIRCUIT BREAKER MOLDED CASE 250 A,UNIT,7,TYPO,INDUSTRIAL GLOBAL SOLUTIONS,34.94
DF6A5262,2024-11-26,STAR TYPE COUPLING FOR CENTRIFUGAL PUMP P-202,UNIT,1,TYPO,GENERAL SERVICES & LOGISTICS CO.,34.69
D8C3DC47,2024-11-27,WRENCHES,UNIT,50,SDO-NE-CP-02,GENERAL SERVICES & LOGISTICS CO.,34.56
1E03CED9,2024-11-27,SCREWS WITH FLANGES,UNIT,150,SDO-NE-CP-02,GENERAL SERVICES & LOGISTICS CO.,35.18
7C26B4C0,2024-11-27,PROGRESSIVE CAVITY PUMP MODEL 98-1600,UNIT,1,TYPO,ELECTRA-NETWORK SUPPLY,35.35
1656FC73,2024-11-27,TERMINAL TYPE BARRACUDA BIMETAL DOUBLE EYE FOR 500 MCM CABLE,UNIT,18,54,GENERAL SERVICES & LOGISTICS CO.,13.2
F19C2F26,2024-11-27,TERMINAL TYPE BARRACUDA BIMETAL DOUBLE EYE FOR 350 MCM CABLE,UNIT,6,54,INDUSTRIAL GLOBAL SOLUTIONS,13.09
D6C4645B,2024-11-27,TERMINAL TYPE C,UNIT,20,54,INDUSTRIAL GLOBAL SOLUTIONS,13.39
D2EFDF01,2024-11-27,ELECTRICAL TAPE 33,ROLL,38,54,GENERAL SERVICES & LOGISTICS CO.,13.7
932DEE17,2024-11-27,TERMINAL BARRACUDA FOR 3/0 CABLE,UNIT,190,54,INDUSTRIAL GLOBAL SOLUTIONS,11.09
B96CC59E,2024-11-27,V-BELT 5VX-1120,UNIT,60,54,INDUSTRIAL GLOBAL SOLUTIONS,34.58
2EA913D9,2024-11-27,V-BELT 5VX-1180,UNIT,44,54,INDUSTRIAL GLOBAL SOLUTIONS,35.33
7A67D897,2024-11-27,VX 1250 BELT,UNIT,4,54,INDUSTRIAL GLOBAL SOLUTIONS,35.66
2E18C0F5,2024-11-27,INDUSTRIAL BREAKER OF 1250 AMP,,1,54,ELECTRA-NETWORK SUPPLY,4500.0
AF06041B,2024-11-27,FUSE 60 AMP,UNIT,3,54,ELECTRA-NETWORK SUPPLY,35.16
B45BE289,2024-11-27,THREE-PHASE SERVICE PANEL OF 24 CIRCUITS,UNIT,1,54,GENERAL SERVICES & LOGISTICS CO.,35.56
DE622955,2024-11-27,PANEL BREAKER OF 10 AMP,,6,54,GENERAL SERVICES & LOGISTICS CO.,34.67
4D9C521A,2024-11-27,PANEL BREAKER OF 20 AMP,,4,54,INDUSTRIAL GLOBAL SOLUTIONS,17.36
9199E1D6,2024-11-27,50 AMP TRIPOLAR PANEL BREAKER,UNIT,4,54,GENERAL SERVICES & LOGISTICS CO.,34.47
7DF6AE8B,2024-11-27,LED LAMP OF 48 W,UNIT,3,54,INDUSTRIAL GLOBAL SOLUTIONS,35.02
0143330C,2024-11-27,CURRENT INTAKE,UNIT,3,54,INDUSTRIAL GLOBAL SOLUTIONS,35.29
4C5CB0A5,2024-11-27,INTERRUPTOR DOBLE,UNIT,1,54,ELECTRA-NETWORK SUPPLY,34.86
D8082619,2024-11-27,OIL LEVEL VIEWER 3/4 NPT,UNIT,5,54,ELECTRA-NETWORK SUPPLY,15.64
9C1524EF,2024-11-28,CHEMICAL PRODUCT ST TUR29N1,BUCKET,3,54,ELECTRA-NETWORK SUPPLY,35.68
22B902F6,2024-11-29,"1 1/4"" X 25 FT PIN X PIN ROD",UNIT,200,SDO-PERF-24-001,GENERAL SERVICES & LOGISTICS CO.,34.46
22B902F6,2024-11-30,"1 1/4"" X 25 FT PIN X PIN ROD",UNIT,200,SDO-PERF-24-001,ELECTRA-NETWORK SUPPLY,34.6
5BAA4318,2024-12-02,INDUSTRIAL BREAKER OF 250 AMP,,10,SDO-FO-ADC-02,ELECTRA-NETWORK SUPPLY,675.83
